name_of_project,country,partner,grant,description
Strengthening Youth Participation in Northern Nigeria,NIGERIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Young Leaders Network,36700,"To strengthen the capacity of youth to participate in politics in northern Nigeria. The organization will foster an enabling environment in which youth and political leaders can engage in dialogue on good governance, accountability, and the need for political inclusion. The organization will educate and mobilize young democracy activists, leading them through civic and political party engagements aimed at opening up space for young men and young women in five constituencies located in Bauchi and Nasarawa states."
Strengthening Youth Political Participation in Northwest Nigeria,NIGERIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Organization for Community Civic Engagement,43400,"To strengthen the capacity of youth to engage with political actors to promote political inclusion and public accountability in northwest Nigeria. The organization will foster an enabling environment in which young Nigerians and political leaders can interact and engage in dialogues to discuss good governance, political accountability, and youth priorities with newly elected and appointed government officials. The grantee will address these concerns by conducting youth organization capacity building trainings, town hall meetings with government officials, advocacy campaigns, and media programs."
YNaija Accountability Project,NIGERIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,The Future Generation Entrepreneurship Development Initiative (The Future Project),49295,"To provide citizens with sustained policy monitoring and debate to strengthen government transparency and accountability. Through its website dedicated to providing credible, accessible, and timely information on crucial policy debates and governance issues, the grantee will promote discourse on government performance. It will also facilitate a series of public forums, and employ diverse media platforms to facilitate public debate and education on policy discussions. Through these processes, it will continue to cultivate a network of engaged citizens who demand governance reform."
African Movement for Democracy,REGIONAL: AFRICA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,"The Network for Solidarity, Empowerment and Transformation for All â€“ NewSETA",66990,"To promote respect for human rights, freedom of expression, and freedom of assembly; and to strengthen the relationship between civil and political societies in Africa. The organization will conduct five country case studies assessing de facto and de jure restrictions on freedom of assembly and expression, and the ability of civil society to perform its role as democratic and human rights watchdog. With these case studies in hand, the organization will launch advocacy campaigns aimed at strengthening freedom of assembly and expression at the national and regional level."
CSO Legitimacy and Solidarity for Impact in Time of Scrutiny,REGIONAL: AFRICA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,International Civil Society Centre gGmbH,45724,"To devise collaborative strategies on CSO legitimacy and solidarity towards more impact. The organization will convene two global conferences under the topic â€™Legitimacy and Impact in Times of Scrutinyâ€™ to address questions around internal and external drivers for legitimacy, explore future scenarios for CSO trust and legitimacy, and foster the exchange of local, regional and global leadership."
Developing a New Generation of Leaders to Drive Movement against Illicit Financial Flows â€“ Phase IV,REGIONAL: AFRICA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Solidarity Center (SC),280000,"To develop the capacities of trade union partners in Nigeria, Swaziland, and Zambia to effectively engage in policy advocacy that curbs illicit financial flows (IFFs), promotes democratic governance, and contributes to inclusive and sustainable development. The center will continue to provide campaign development and advocacy training and provide technical assistance to facilitate transnational trade union and civil society partnerships to more effectively curb IFFs and promote democratic governance."
Expanding Protections for Migrant Workers in the East Africa Community,REGIONAL: AFRICA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Solidarity Center (SC),150000,"To promote the rights of workers in East Africa, especially those moving across borders, the center will strengthen its union partnersâ€™ capacity to advocate for the implementation of social security portability laws by drawing lessons learned from previous social security portability work and contributing to current social security developments in the region. To further advance the protection of workers, the center will build its partnersâ€™ capacity to understand and advocate for workersâ€™ rights in trade agreements in the region."
Keeping It Real With Adeola,REGIONAL: AFRICA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Kirwa Foundation,25000,"To engage the public in conversations on government accountability and transparency across Africa. The organization will produce a weekly online political satire show that highlights trending stories on government corruption, human rights, and insecurity. The show will seek to educate the public on key governance challenges, highlighting the most egregious democratic deficiencies, and mobilize them to challenge these shortcomings and demand reform."
Political Party Leadership Institute (PPLI),REGIONAL: AFRICA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,National Democratic Institute for International Affairs (NDI),250000,"To build on lessons learned from the NED funded Political Party Strengthening Institute and to address regional trends in declining youth political participation in the Southern and East Africa region. The institute will provide a structured learning platform for youth political party activists from Botswana, Malawi, South Africa, Tanzania, and Zambia to develop capacity skills to use when engaging in formal political party processes."
Promoting Gender Equality Among Unions Phase V,REGIONAL: AFRICA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Solidarity Center (SC),200000,"To promote political and civic participation of African union women in addressing gender-based violence in the world of work. The center will sponsor the participation of five African union gender coordinators in the 2019 International Labor Conference (ILC), then support them to lead their unions in strategizing how to support the implementation of the convention and/or recommendation on Ending Violence and Harassment Against Women and Men in the World of Work."
Promoting Accountability within the Extractives Sector,REGIONAL: AFRICA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Accountability and Governance,56260,To promote government accountability and compliance with domestic and Chinese human rights and environmental laws. The organization will educate civil society on Chinese human rights and environmental laws and strengthen local capacity to engage with elected officials to advocate for increased compliance with local and international laws. The grantee will also collect data on human rights abuses and environmental damage at extractives sites into reports and a database that will be shared with civil society and local government officials.
Strengthening Civil Society Capacity for Accountability,REGIONAL: AFRICA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Bank Information Center,50000,"To enhance the technical capacity of civil society organizations in Africa to engage government and International Financial Institutions (IFI) prior to large development projects. The organization will work with civil society organizations in The Gambia, Burkina Faso and Guinea as they provide questions and input on the development and implementation of major projects. It will conduct trainings and maintain a website on the work of civil society and major IFI projects. Activities will build on outcomes from the African Development Bank meeting on International Accountability Mechanisms."
Strengthening Civil Society through Digital Voter and Civic Education,REGIONAL: AFRICA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,International Republican Institute (IRI),280000,"To strengthen civil society and empower activists with innovative mechanisms to enhance civic and voter education efforts across Africa, the institute will develop a digital civic engagement tool that can be adapted to different contexts throughout the continent. The institute will pilot the platform in an African country to test the educational tool and to demonstrate its effectiveness in elevating and enhancing civic education efforts in the context of a forthcoming election."
Strengthening the Voice of Labor in Trade Programs â€“ Phase IV,REGIONAL: AFRICA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Solidarity Center (SC),300000,"To promote African worker and civil society voice in countries that have made the most use of the African Growth and Opportunity Act (AGOA). The center will ensure labor union participation in the 2019 United-States-Sub-Saharan Africa Trade and Economic Cooperation Forum (AGOA Forum), and support in-country research and advocacy campaigns that advance respect for internationally recognized worker rights in the apparel and footwear sector.Â National level activities will reinforce the workersâ€™ proposal to integrate workersâ€™ rights plans into AGOA utilization trade strategies."
Supporting Regional Civil Society in Local Advocacy and Regional Collaboration,REGIONAL: AFRICA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,International Republican Institute (IRI),600000,"To develop the capacity of Great Lakes civil society organizations (CSO) to advocate for democratic principles and regional stability and to increase their collaboration around issues affecting the region. The institute will provide CSOs with knowledge, skills, and resources and facilitate opportunities for regional collaboration on advocacy efforts regarding the post-2015 Burundian political situation."
The Sentry/Africa Uncensored Investigations,REGIONAL: AFRICA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,The Sentry,50000,"To obtain evidence that exposes kleptocratic networks, tell compelling stories that capture public interest, and enhance the impact of the investigations through transnational advocacy. The organization and a local partner will conduct extensive field research and interviews, carry out detailed financial investigations, produce a second documentary, write supporting articles and conduct advocacy that engages the public, law enforcement and financial institutions."
Countering Authoritarian Entrenchment,REGIONAL: CENTRAL AFRICA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,National Democratic Institute for International Affairs (NDI),375000,"To support local organizations faced with authoritarian entrenchment in the Central Africa sub-region, the Institute will pilot a framework for assisting local partners in closing spaces.Â It will facilitate solidarity and â€œdemocratic learningâ€ through workshops, a secure platform for access to information and exchanging experiences, the collection of best practices and lessons learned from organizing in closing spaces, and support for an online identity for safely raising international awareness."
Defending the Rights of Persons with Disabilities in Central Africa,REGIONAL: CENTRAL AFRICA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Forum des Associations et Organisations des Personnes Handicapees en Afrique Centrale,49976,"To defend the rights of persons with disabilities in eight countries of Central Africa, the grantee will train civil society leaders and organize a number of major events on this particular issue. In addition to sponsoring audiovisual programs, the grantee will undertake several advocacy initiatives, and release numerous reports on the electoral participation, detention conditions, and legal treatment of disabled persons in the targeted countries."
Denouncing Human Rights Abuses and Restoring Democratic Space in Central Africa,REGIONAL: CENTRAL AFRICA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Reseau des Defenseurs des Droits Humains en Afrique Centrale,72036,"To enhance the capacity of young human rights defenders to play their role effectively throughout Central Africa. The organization will first train these defenders on investigation and protection techniques, and then deploy them on missions to unstable regions of Cameroon and Eastern Congo. The grantee will also publish a human rights index and organize a conference to present its findings from human rights investigative missions."
Fighting Kleptocracy in Central Africa,REGIONAL: CENTRAL AFRICA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Global Integrity,70995,"To enhance the efforts of a nascent anti-kleptocracy coalition, the organization will provide strategic guidance to its members and facilitate linkages with transnational efforts in the region and globally. A far-reaching digital awareness campaign will show how power-holders in Central Africa loot state coffers, erode institutions domestically, regionally, and internationally, holding on to power, intersecting with each other and with kleptocratic networks outside the region. The organization will conduct strategic learning workshops building links to current regional and international anti-kleptocracy initiatives."
Building a Regional Coalition to Defend Freedom of Expression and Access to Information,REGIONAL: SOUTHERN AFRICA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Media Alliance of Zimbabwe,70000,"To strengthen regional coordination towards reinforcing democratic norms and institutions protecting freedom of expression and access to information in Southern Africa. This project will establish a regional network that will advocate for policies to counter threats to independent media and freedom of expression. The network will be developed through a consultative process and a research report that will leverage varying experiences of media experts from across the region. Additionally, the organization will continue to advise the Southern African Development Community on the implementation of media reforms in the region."
Building Youth Agency in Southern Africa,REGIONAL: SOUTHERN AFRICA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Youth Forum Zimbabwe,46260,"To strengthen the ability of youth activists in Southern Africa to coordinate advocacy and participate in political processes. The program will result in the formalization of a regional network of youth organizations that will collaborate on joint campaigns targeting national and regional decision-making bodies, including the Southern African Development Community. A second tier of the project will bring together youth activists in Zimbabwe with influential community leaders across political and generational divides to coordinate anti-corruption efforts and promote democratic reforms."
Strengthening Political Parties Through Regional Party Exchange And Capacity Building,REGIONAL: SOUTHERN AFRICA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,International Republican Institute (IRI),430000,To support political parties in Southern Africa. The institute will work with democratically minded parties to share lessons learned and reinforce the established learning network of political party actors in the region. The institute will work to improve the capacity of political parties to formulate effective electoral strategies and be more responsive to citizen needs through issue-based policy and good governance practices.
Engaging Youth to Advocate for Accountability and Good Governance,RWANDA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Citizen Voice and Actions,35000,"To engage youth in the decision-making process and empower them to advocate for accountability and good governance. The organization will host monthly school debates to discuss governance and public policies that will accompany an awareness raising campaign on good governance. The grantee will host roundtables on including youth issues in national policies. Finally, they will host a capacity-building workshop for youth on advocacy skills, leadership, and reinforcing democratic principles."
Monitoring Human Rights and Advocating for the Respect of Democratic Principles,RWANDA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Ligue des Droits de la Personne dans la Region des Grands Lacs,42500,"To monitor and report on human, civil, and political rights violations in Rwanda. The organization will deploy human rights observers who will document the state of human rights in Rwanda. In addition, the group will report on the implementation of recommendations from the UNâ€™s Universal Periodic Review of human rights in Rwanda.Â The partner will share their reports with relevant stakeholders to raise awareness of their findings and of the challenges encountered."
Promoting Access to Justice,RWANDA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Rwanda Bridges to Justice,51000,To encourage popular and institutional support for improved access to justice and the prevention of torture. The grantee will increase the capacity and willingness of young lawyers to defend the rights of the most vulnerable Rwandans and provide legal support for defendants. It will also promote criminal justice reform through a series of task force meetings with young lawyers and roundtables with justice sector officials.
Promoting Citizen Participation and Democratic Governance,RWANDA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Organisation For Peace and Development,40500,"To promote citizen participation and democratic governance in Rwanda, the organization will first engage local authorities to establish areas of agreement and encourage participation in their workshops. The grantee will then hold a series of meetings with citizens from various districts to discuss constitutional rights, the responsibilities of citizens, and the obligations of the state. Finally, the organization will host workshops on peace and good governance and broadcast quarterly radio debates on these topics."
"Promoting Freedom of Expression, Association, and Assembly for Sexual Minorities",RWANDA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Human Rights First Rwanda Association,44500,"To build a network of human rights defenders to advocate for the freedom of expression and association of sexual minorities in Rwanda, the grantee will host quarterly meetings with LGBTQ organizations to coordinate messaging and improve collaboration. The organization will host advocacy trainings and engage journalists and CSOs to advocate for sexual minorities in the country. Finally, the organization will provide legal aid to high-profile cases of unlawful discrimination against LGBTQ individuals."
Promoting Youth Engagement on Human Rights Issues,RWANDA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Ejo Youth Echo,32000,"To raise awareness of human rights among Rwandan youth and train journalists to better cover human rights issues. The organization will build the capacity of journalists to advocate for human rights, and to use video and social media in order to reach wider audiences. The partner will also assess Rwandan youthâ€™s knowledge of human rights issues, and focus its radio programming on the gaps identified. Finally, the grantee will discuss its radio programming and foster dialogue around human rights issues with youth."
Supporting Human Rights Defenders and Promoting Freedom of Expression,RWANDA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Syndicat des Travailleurs aux Services des Droits Humains,40000,"To strengthen the capacity of human rights defenders (HRDs) in Rwanda to promote freedom of expression and opinion. The organization will train HRDs on advocacy and networking skills. The partner will also continue to monitor, document, and report civil, political, and human rights violations targeting HRDs and journalists during the 2019 electoral period. The group will encourage journalists and HRDs to produce articles aiming to promote human rights values, and it will provide support to human rights defenders through advocacy efforts."
Supporting the Teachersâ€™ Union in the Promotion of Human Rights,RWANDA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Conseil National des Organisations Syndicales Libres au Rwanda,43000,"To promote human and workersâ€™ rights in Rwanda. The grantee will carry out training curriculum for teachers, school administrators, union members, and local officials in four rural districts. The participants will learn to understand, respect, and defend human and workersâ€™ rights and share this knowledge with fellow teachers. The organization will hold capacity-building trainings for teachersâ€™ union leaders."
Community Action for Accountable Governance after the Elections,SIERRA LEONE 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Media Foundation for Peace and Development,49563,"To strengthen youth engagement to hold elected leaders accountable to their electoral promises. The organization will host a series of dialogues between citizens and elected officials on transparency, accountability, and the importance of youth political participation. The grantee will produce a series of skits and interactive radio programs on similar topics as well as peaceful conflict resolution techniques."
Enhancing Press Freedom and Legislative Reforms of Media Laws,SIERRA LEONE 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Media Reform Coordinating Group â€“ Sierra Leone,35000,"To advocate for the repeal of criminal libel laws and strengthen freedom of information. The grantee will hold trainings on the existing libel law and the challenges it presents for journalists. Then the grantee will organize workshops to draft a framework for a revised civil libel law as an alternative to existing legislation and organize two public hearings to help journalists understand existing accountability mechanisms and ways to report harassment. Throughout the project, the grantee will monitor the extent of media freedom in the country."
Promoting Youth Participation in Local Governance and Social Cohesion Initiatives,SIERRA LEONE 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Peacelinks,39750,"To promote youth participation in demanding accountable and democratic local governance and preventing violence. The organization will host a series of interactive dialogues on local governance and the importance of peace. Afterward, a series of committees will track political developments to keep elected leaders accountable for their promises. The grantee will also produce posters and radio programs on similar topics."
Using Civic Education to Promote Womenâ€™s Participation in Local Governance,SIERRA LEONE 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,SKYY Womenâ€™s World Network,35600,To support the inclusion of women and youth in local governance practices and encourage civic engagement. The grantee will host a training of trainers workshop on the importance of women and youthâ€™s political participation. Capacity development workshops will discuss democratic governance challenges while the subsequent dialogue sessions will allow participants to voice their concerns with elected officials. A series of radio programs will educate citizens about the ills of corruption and the importance of civic engagement.
Advocating for Inclusive and Accountable Electoral Processes in Somalia II,SOMALIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Somali Innovation and Development Organization,61840,"To strengthen the capacities of minority clan communities in Somalia to advocate for and participate in electoral processes. The organization will train minority clan representatives to identify their priorities, develop advocacy strategies, and organize among themselves to advocate for universal suffrage prior to the 2020/21 electoral transition in Somalia."
Democracy and Human Rights Radio,SOMALIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Radio Baidoa,28080,"To improve citizen understanding of and advocacy toward improved governance and human rights in Somalia. The organization will conduct public service announcements, radio programs, and community dialogues in South West State. The goal of the organizationâ€™s programming will be to promote democratic values and increased citizen participation in political processes."
Engaging the Justice Sector for the Promotion of Human Rights in Galmudug II,SOMALIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Mudug Peace and Human Development Organization,42345,"To enhance the rule of law in Galmudug through human rights education for police and judicial officials. The organization will train representatives of the police force, judicial corps, and judiciary on human rights and rule of law in an effort to instill a culture of accountability within their ranks."
Enhancing Media Coverage of Governance Developments in Puntland,SOMALIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Media Association of Puntland,45440,"To strengthen media coverage of governance and political developments in Puntland. The organization will build relationships between journalists and members of the new Puntland House of Representatives.Â The organization will also strengthen media capacity to report on parliamentary and judicial developments by conducting trainings for journalists from Bari, Mudug, Nugaal, Sanaag, and Sool."
Enhancing Public Ownership in the Security Debate,SOMALIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Hiraal Institute,29020,"To increase government responsiveness to citizen input in security sector decision-making. The organization will conduct primary research identifying local grievances in Mogadishu, Baidoa, Bosaso, Dhusamareb, Jowhar, and Kismayo. It will also conduct public forums and develop reports with policy recommendations on how to integrate citizen priorities into security policymaking."
Facilitating Public Participation in Building Democracy in Puntland,SOMALIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Somali Institute for Development and Research Analysis,29211,"To engage Puntlanders in strengthening democratic governance and accountability through public awareness and advocacy. The organization will organize a series of community debates and engage citizens in greater advocacy to government officials, political process monitoring, and awareness raising in five regions throughout the state. The organization will also share citizen priorities with parliamentarians and other public officials."
Promoting Accountability,SOMALIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Marqaati,39960,"To improve accountability in Somaliaâ€™s federal institutions through greater public engagement and advocacy. The organization will develop a mobile application through which to monitor incidents of bribery and corruption. It will also publish quarterly and annual reports to draw public attention to its findings, and host quarterly meetings to encourage advocacy for greater accountability."
Promoting Accountable and Responsive Governance,SOMALIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Somali Family Services,56900,"To enhance citizensâ€™ understanding of democratic values and governance developments in Puntland. The organization will provide independent, balanced reporting on governance developments and promote citizen participation in Puntland. It will develop programming related to political and social developments, governance, and voter education through call-in shows and discussion programs."
Promoting Democratization through Dialogue on Somaliaâ€™s Transitional Agenda,SOMALIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Sahan Foundation,59970,To provide a platform for political leaders and civil society stakeholders to support the formation of a credible federal electoral process. The organization will conduct structured dialogue with representatives of federal member states supported by key civil society facilitators toward the impending 2020/21 electoral process.
Strengthening Democratic Processes in Puntland,SOMALIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,HAYAAN Institute for Research And Policy,54458,"To enhance institutional mechanisms and citizen support for Puntlandâ€™s democratization process prior to the 2020/21 transition. The organization will host a series of public forums, and television and radio programs, to build public awareness of and advocacy for credible elections. It will also strengthen the Transitional Puntland Election Commissionâ€™s capacity to deliver those polls."
"Voices for Democracy, Good Governance, and Accountability",SOMALIA 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Radio Daljir,40030,"To promote democracy, accountability, and human rights through independent radio in Somalia. The organization will conduct weekly programming regarding political developments, women and girlsâ€™ rights, and opportunities for citizen participation in public life. It will also produce a series of public service announcements to disseminate positive social messages and demand accountability from political leaders."
Engaging Citizens to Promote Credible Elections,SOMALILAND 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,United Trust Associations,36909,"To engage young people in the promotion of democracy and free expression in Somaliland. The organization will conduct trainings, host national youth forums, and facilitate opportunities for young people to engage with political leaders. The organization will also provide youth with opportunities to share their opinions on various political developments and advocate for greater free expression in the region."
Expanding Youth Participation in the Promotion of Democracy and Freedom of Expression,SOMALILAND 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,SolidarityÂ Youth Voluntary Organization,31070,"To engage young people in the promotion of democracy and free expression in Somaliland. The organization will conduct trainings, host national youth forums, and facilitate opportunities for young people to engage with political leaders. The organization will also provide youth with opportunities to share their opinions on various political developments and advocate for greater free expression in the region."
Promoting and Defending Human Rights in Somaliland II,SOMALILAND 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Human Rights Center,40944,"To promote human rights and access to justice in Somaliland. The organization will promote citizen awareness of democracy and good governance through public events and meetings, train civil society groups and community leaders on rule of law and advocacy, and document human rights violations. Findings from the organizationâ€™s monitoring efforts will be released through quarterly and annual human rights reports."
Promoting Democratic Values through the Arts II,SOMALILAND 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Redsea Cultural Foundation,60000,"To promote free expression and democratic values through the arts in Somaliland. The organization will provide Somalilanders, particularly women and youth, with a platform to engage the written and creative arts to promote civics, tolerance, and democratic values. The organization will organize a book fair, poetry readings, book launches, film screenings and dialogues to promote shared values, free expression, and democracy in Somaliland."
Strengthening Journalistsâ€™ Understanding of the Legal Framework Governing Media,SOMALILAND 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Somaliland Journalists Association,28980,To enhance the media environment in Somaliland through journalist capacity building and advocacy for a stronger legal framework. The organization will train journalists on existing domestic and international laws governing their work. It will also use operational support to advocate for journalistsâ€™ rights and reforms to the press law.
Citizen Engagement in Governance and Peacebuilding,SOUTH SUDAN 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Community Empowerment for Rehabilitation and Development,58722,"To combat the problem of youth turning to violence, promote their political engagement, expand the dissemination of critical information, and enhance the role of traditional leaders. The organization will conduct cultural events, undertake safe neighborhood campaigns, convene forums for traditional leaders, organize constituency dialogues, and hold a youth conference."
Promoting Civic Engagement,SOUTH SUDAN 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Advance South Sudan,33800,"To promote civic engagement and peaceful coexistence among communities in South Sudan. The organization will facilitate inter-generational peace dialogues and exchange visits with members of the community and youth leaders, organize theater performances that showcase respect for ethnic diversity, and conduct radio talk shows that highlight citizensâ€™ rights and responsibilities."
Unifying a Civil Society Agenda,SOUTH SUDAN 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,South Sudanese Network for Democracy and Elections,40000,"To coordinate a joint civil society agenda for the peace process in South Sudan. The organization will bring together civil society, faith-based groups, and professional associations from each of the former ten states to coordinate engagement in the peace process. A reform agenda will be produced and participants will disseminate it throughout each state to promote unified positions during process implementation."
Women for Sustainable Peace,SOUTH SUDAN 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Centre for Democracy and Development,45000,"To build the capacity of women to participate in peace processes and contribute to sustainable development, and to connect communitiesâ€™ recommendations for peace to political decision-makers. The organization will provide good governance and conflict resolution training to women leaders and host a conference for women from different counties to share experiences and strategize together."
"Advancing Freedom of Association, Assembly, and Expression",SUDAN 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Freedom of Association,76717,"To strengthen civil societyâ€™s role in the transitional period and to advance civic space. The organization will convene a conference of nongovernmental groups to determine agreement priorities for civic space reforms during the transition, identify reform implementation strategies, and foster commitment to the priority areas and actions identified. The organization will host regular strategy and implementation review meetings of civil society organizations and media entities."
"Advancing Freedom of Association, Assembly, and Expression in Sudan",SUDAN 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Freedom of Association,55000,"To monitor the state of free of association, assembly, and expression in Sudan. The organization will update in Arabic and English its website with immediate news alerts and quarterly analyses of violations of freedom of association, assembly, and expression; host quarterly focus group discussions with civil society leaders and media experts and journalists to jointly examine the status of civic space in the country; and produce an annual report with corresponding recommendations."
Bridging the Gap with a More Informed and Engaged Citizenry,SUDAN 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Freedom of Information,50000,To increase understanding of news events and awareness among Sudanese in Khartoum and the countryâ€™s war-torn South Kordofan and Blue Nile states. The organization will produce films by local journalists to be published online and screened at Mobile Viewing Circles. The organization will facilitate post-screening community discussion sessions to encourage citizens to advocate on behalf of all disenfranchised Sudanese.
Documentation and Prosecution for Serious Human Rights Abuses in Sudan,SUDAN 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Accountability and Governance,50050,"To enhance the collection and analysis of evidence for use in legal claims and encourage accountability through advocacy. The organization will collaborate with Sudanese human rights organizations and lawyers to collate, obtain, and safeguard evidence to identify perpetrators for prosecutions under universal jurisdiction and asset seizure. The organization will advocate that regional and international human rights bodies support Sudanese and international accountability efforts. It will work with Sudanese human rights leaders to prepare a policy brief outlining the necessary changes to Sudanese law and practice required for accountability."
Facilitating Dialogue among Marginalized Groups and Supporting Human Rights Defenders,SUDAN 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Accountability and Governance,57818,"To support activists from Sudanâ€™s conflict areas to engage in ongoing political discourse. The organization will support policy development and dialogue sessions of its marginalized peoples, women, and youth networks to develop an advocacy agenda for the inclusion of issues related to sustainable peace, development, equality, federalism and transitional justice in democratic change discussions. The organization will continue to provide ongoing legal aid to human rights defenders."
Human Rights Monitoring and Advocacy,SUDAN 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Human Rights,59984,"To increase the availability of reliable information on violations of fundamental freedoms and access to justice in Sudan. The organization will monitor human rights violations countrywide, publish press releases and legal opinions on access to justice and law reform, and issue advocacy briefings and legal interventions before UN and African Commission on Peoples and Human Rights mechanisms. It also will organize an advocacy strategy development workshop for groups working on human rights and draft memorandums to Sudanese government officials highlighting monitoring findings and recommendations to amend restrictive laws and practices."
Human Rights Monitoring and Advocacy,SUDAN 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Human Rights,39635,To seek accountability for human rights violations. The organization will hold a meeting of relevant Sudanese civil society organization to strategize accountability avenues for human rights abuses committed during the 2018-2019 protests. The organization will collaborate with civil society leaders to engage African regional mechanisms to conduct a fact-finding mission and independent investigations into the crimes.
In Your Pocket: Easy Access to Information and News on Sudan,SUDAN 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Freedom of Information,59987,To provide Sudanese audiences with independent and unbiased news and information about current affairs. The organization will build the capacity of and support Sudanese media to disseminate daily news flashes and audio reports via WhatsApp. The organization also will support the creation of a new weekly program for women to share their experiences and priorities about the future of the country.
In Your Pocket: Easy Access to Information and News on Sudan,SUDAN 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Freedom of Information,49962,"To increase access to information about the Constitutional Charter and developments during the transition period. The organization will support Radio Dabanga to produce â€œVoices in Transitionâ€ radio broadcasts and moderated Facebook discussions with experts and stakeholders to answer citizen questions about political, justice, security and legal developments during the transition period. The programs also will provide airtime for citizens to voice their questions, opinions, and concerns about these same topics."
Monitoring Human Rights in Sudanâ€™s Two Areas,SUDAN 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Human Rights,49970,To provide core support to a network of human rights monitors in South Kordofan and Blue Nile states. The organization will collect information from human rights monitors based in South Kordofan and Blue Nile and produce timely press releases and monthly reports on human rights conditions in the Two Areas.
Promoting Democracy and Leadership among Sudanese Women,SUDAN 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Democratic Ideas and Values,55440,"To advance womenâ€™s political, social, and economic rights in Blue and White Nile states. The organization will train female grass-roots leaders and government representatives on leadership and advocacy skills, host an advocacy strategy session for the women leaders, and organize public forums and private meetings with relevant community leaders and government representatives for the women to advocate for policy reforms and increase the role of women in peace processes."
